2024-03-22 15:31:07 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 279
2024-03-22 15:31:53 - PHP Warning:  Array to string conversion in D:\xampp\htdocs\vaza\upload\system\storage\cache\template\a6\a6ae37e794752ea256639b37adc8b840.php on line 134
2024-03-22 15:31:55 - PHP Warning:  Array to string conversion in D:\xampp\htdocs\vaza\upload\system\storage\cache\template\a6\a6ae37e794752ea256639b37adc8b840.php on line 134
2024-03-22 15:32:57 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 279
2024-03-22 15:33:35 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 279
2024-03-22 15:34:57 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 279
2024-03-22 15:35:37 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 279
2024-03-22 15:38:57 - PHP Warning:  Undefined array key "entity" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 15:38:57 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 15:41:42 - PHP Warning:  foreach() argument must be of type array|object, string given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 15:48:07 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 289
2024-03-22 15:48:07 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:48:07 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:48:19 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 289
2024-03-22 15:48:19 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:48:19 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:50:27 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:50:27 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 16:09:29 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 288
2024-03-22 16:09:55 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 288
